mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier
groth16,500,90,136.515700,6.539900,649.045300,785.561000,30.523000,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2214884738108257550667050034987258696301844032545322815108394011045878759368
groth16,500,91,175.297200,6.539900,664.525700,839.822900,24.789900,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18658290262003033238575980557474067666678241499343867612392679302388925479901
groth16,500,92,147.949500,6.539900,582.943900,730.893400,19.168100,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,7400131904568567739214972244107710409790272911676684157868026790503411425034
groth16,500,93,122.810700,6.539900,508.732900,631.543600,19.389300,true,725,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,8879598830868985614657744858128150680504004195361880439923564630260122375910
groth16,500,94,128.329400,6.539900,537.651300,665.980700,18.611000,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9263548010319890689824060328981451451397243351752704291519639686675157130228
groth16,500,95,124.726800,6.539900,548.629700,673.356500,19.696400,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2904604560979551847518025194109865077647836724789539009566121746327367727279
groth16,500,96,118.633100,6.539900,534.931900,653.565000,19.815900,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20547784869528742838808016165375609246455268741738645073277442265638453879777
groth16,500,97,121.892000,6.539900,565.944700,687.836700,18.575200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20387909852721123367389357913263900402446325940440322394098513678059550430111
groth16,500,98,119.378100,6.539900,557.781000,677.159100,18.982700,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12064659517034421035378317783533314706914855333015836591687947832258127595340
groth16,500,99,124.754000,6.539900,533.371200,658.125200,18.474100,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,13464236282947434527617359259516332843638916248985450891723935740861450281096
groth16,500,100,123.106600,6.539900,526.118500,649.225100,19.465300,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2605687363225757356532367348233304730398222724593309763266477162205962449880
groth16,500,101,121.624900,6.539900,550.873200,672.498100,18.628700,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15466507822611972757450711147205488762333360528734375584310926755601567538667
groth16,500,102,136.279400,6.539900,560.776800,697.056200,19.377400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12518198937017071845873541045353327897286664637644997960003976903207216414471
groth16,500,103,128.129900,6.539900,558.845200,686.975100,21.192700,true,726,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20262869978982119958905217857380978736134078886068706834899000703084376592894
groth16,500,104,158.093000,6.539900,525.514000,683.607000,17.447300,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,8042888396961105344472593192884409071340043360197710933165442675383189725865
groth16,500,105,108.490400,6.539900,479.564800,588.055200,17.577600,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,1550646561717275402681851927827678562035846911634787353694079293375260071166
groth16,500,106,114.581300,6.539900,495.372800,609.954100,19.715300,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15835158916576180844812421220530670931878055397353489765328422464011152288049
groth16,500,107,114.136100,6.539900,506.275600,620.411700,17.675700,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,21866846180953670063587665287777287221593125745145251566543867366559162203478
groth16,500,108,113.014500,6.539900,548.843100,661.857600,21.188000,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,8536662874575990787349078831542313446698758953106027794108771416930617245181
groth16,500,109,130.506700,6.539900,504.224200,634.730900,17.735400,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17022687344091960360332911606823279193970276563790866162605193351715469565159
groth16,500,110,111.394700,6.539900,501.872800,613.267500,18.726600,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,6671770596456692525750282075712045271805271813299471273839769889613261991668
groth16,500,111,110.320400,6.539900,495.662100,605.982500,17.919400,true,719,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,10832244476342665380764883242917809170350015072566085488780311792415464932407
groth16,500,112,115.398700,6.539900,530.061300,645.460000,18.808400,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,5005856253685438116545444812782984354282112544123805147264437631525013854416
groth16,500,113,110.670500,6.539900,523.638700,634.309200,19.765700,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,14120557931766334716044874932343594897821899167261598884355396086668543495570
groth16,500,114,124.425800,6.539900,555.060100,679.485900,18.546300,true,726,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,826988824161769291365946150723744977856412059687595921964491282847709089751
groth16,500,115,116.172600,6.539900,503.865900,620.038500,19.796700,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9621789621209988747709650788442459101575805556999074145092579104170372973671
groth16,500,116,134.255200,6.539900,546.144900,680.400100,18.834400,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,21086270373704764558115083180003550299671777210054654848083843076654535646878
groth16,500,117,116.008300,6.539900,471.044900,587.053200,17.639800,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3471004860239286430653476074871792627269240909109806173995729051706106293288
groth16,500,118,113.882400,6.539900,517.860300,631.742700,19.641600,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,14458194555673697557646856807488195814239013417825111931516194875912183082927
groth16,500,119,117.037900,6.539900,528.461000,645.498900,18.143200,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15354147794110152680525012277055689583880203240464648304499344047044854501180
groth16,500,120,145.029000,6.539900,596.939100,741.968100,20.680800,true,719,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18395044783709466654581977322647950912982060400816211887621821961737034846290
groth16,500,121,124.253900,6.539900,671.853100,796.107000,19.337800,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12451547279827859359592041645021699272563403827034533747959507504227010330441
groth16,500,122,130.733500,6.539900,535.131100,665.864600,19.392400,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15786796134330492655199780537235532585251201887320949623760824187554143571965
groth16,500,123,112.678000,6.539900,524.128800,636.806800,19.519900,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20854571819830657882238533153612725212257900619574912631551287817020197390171
groth16,500,124,122.128500,6.539900,518.945400,641.073900,20.402200,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,3067492415930676346582777497049881527359248878036920805173029154368959631025
groth16,500,125,120.507000,6.539900,491.642400,612.149400,18.697400,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,6434926284188836121860730507053292581867070604302727496407924158906970128338
groth16,500,126,120.696700,6.539900,573.942300,694.639000,18.616200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,6844957200275268603991321269568397162624529359566404175647253579913243330613
groth16,500,127,123.471600,6.539900,516.533900,640.005500,18.051200,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,19521241625385950576483138348904097564696845590564423232557724636517785379746
groth16,500,128,125.779300,6.539900,549.208400,674.987700,20.228600,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17857026594465362739921615483152721623807841252786665114495932708669038745163
groth16,500,129,126.161500,6.539900,587.944500,714.106000,19.679600,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,15698094980663125235802742785850759345384614804792557378257223684598746600816
groth16,500,130,118.845700,6.539900,519.298300,638.144000,19.922100,true,719,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,2180827783795430316910871857995511860731931260756205735364401296194208947981
groth16,500,131,115.316400,6.539900,507.219100,622.535500,31.577800,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,11117433322245568195948217972984396712488517402067222347850900346932607206726
groth16,500,132,169.343700,6.539900,544.632800,713.976500,22.702100,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,19278516593097330370970093036373525646101383497334497797947552434259848926393
groth16,500,133,113.894200,6.539900,608.972900,722.867100,17.037600,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,9884335733441398976124867235438473553528663517751869453806824259205680458592
groth16,500,134,118.053900,6.539900,508.727000,626.780900,20.805200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,17593398648168713257239399927786154810295487349767012143750472599337474471858
groth16,500,135,116.821300,6.539900,497.729800,614.551100,16.765300,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12589457402600587384177897469585653592849533725607631658796822510621236639461
groth16,500,136,121.880100,6.539900,490.424600,612.304700,20.090100,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12127772844348949745428001685534466774440190059030950777045053569048049891910
groth16,500,137,123.805900,6.539900,508.087500,631.893400,16.849600,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,147134908189967700357136789083259584723361586862002162732852076016213327863
groth16,500,138,109.334800,6.539900,460.970700,570.305500,18.487100,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,20207905228599625207725582096057108262624426403656205119510368801035427446791
groth16,500,139,106.811200,6.539900,462.948800,569.760000,17.338100,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,10918066965421445285219173517257909332255956987545706519271035256469649530141
groth16,500,140,112.594900,6.539900,681.947500,794.542400,23.226800,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,21009163836835764692293513705135600593843952936380554369632322716870120825748
groth16,500,141,134.346300,6.539900,642.141600,776.487900,21.128400,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18370415417468938049384975667450740102398928541002707999721937058196216679217
groth16,500,142,145.583400,6.539900,592.903600,738.487000,18.422500,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12799144951929285452568616161433254434315419507585288206701278036829989413976
groth16,500,143,116.241000,6.539900,475.999900,592.240900,19.052200,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,10115283252379710518041364553811981190027546547319292078311020869874765968002
groth16,500,144,125.302000,6.539900,531.909400,657.211400,17.269200,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18187217404376544452381070779453108951006255629284180310928874403057181763963
