branch,run_at,git_commit,chain_id,total_students,student_index,student_id,wallet_address,ganache_account_index,clean,exposed_name_count,exposed_value_count,exposed_names,encodings_checked,encodings_skipped
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,65,24560065,0xDFd99099Fa13541a64AEe9AAd61c0dbf3D32D492,66,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,66,24560066,0x63c3686EF31C03a641e2Ea8993A91Ea351e5891a,67,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,67,24560067,0x9394cb5f737Bd3aCea7dcE90CA48DBd42801EE5d,68,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,68,24560068,0x344dca30F5c5f74F2f13Dc1d48Ad3A9069d13Ad9,69,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,69,24560069,0xF23E054D8b4D0BECFa22DeEF5632F27f781f8bf5,70,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,70,24560070,0x6d69F301d1Da5C7818B5e61EECc745b30179C68b,71,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,71,24560071,0xF0cE7BaB13C99bA0565f426508a7CD8f4C247E5a,72,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,72,24560072,0x011bD5423C5F77b5a0789E27f922535fd76B688F,73,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,73,24560073,0xD9065f27e9b706E5F7628e067cC00B288dddbF19,74,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,74,24560074,0x54ccCeB38251C29b628ef8B00b3cAB97e7cAc7D5,75,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,75,24560075,0xA1196426b41627ae75Ea7f7409E074BE97367da2,76,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,76,24560076,0xE74cEf90b6CF1a77FEfAd731713e6f53e575C183,77,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,77,24560077,0x7Df8Efa6d6F1CB5C4f36315e0AcB82b02Ae8BA40,78,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,78,24560078,0x9E126C57330FA71556628e0aabd6B6B6783d99fA,79,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,79,24560079,0x586BA39027A74e8D40E6626f89Ae97bA7f616644,80,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,80,24560080,0x9A50ed082Cf2fc003152580dcDB320B834fA379E,81,true,0,0,(khong),16,2
