mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
onchain,60,16,1979758,4554511,118668,532274,652.142200,582663,574.620300,615655,657.248900,69626,35.591700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x08967037cb23f68d2ac79838413ef7b4d51988fc9118cdbbceb9012986251969
onchain,60,17,1979758,4554511,118668,532286,628.636900,582675,646.417900,615667,739.608700,69626,28.912800,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x264ce116501f938a33b0de680d3f6f5ae9e3194bfe73918a57b0da409d565d08
onchain,60,18,1979758,4554511,118668,532190,626.515400,582579,691.883900,615571,909.205700,69626,33.835100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x13547c0476fd9dd0a587c5bfa7a53c2e2d5b1c1d64b2640d7a957ebcb54d27c2
onchain,60,19,1979758,4554511,118668,532310,620.873000,582699,576.305600,615691,646.235300,69626,41.502400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x01863710d65682c8321e512dde21b3bb6ecdb240e83213e0da68b559341bdeb0
onchain,60,20,1979758,4554511,118668,532214,668.792400,582603,662.827000,615595,602.503500,69626,68.863700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0c2d755f75c72cd3b7bc563e816c67e884bdd57f42a4a94de21c7e3b03bd82a3
onchain,60,21,1979758,4554511,118668,532286,714.095700,582675,696.099400,615667,677.616400,69626,32.736500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x01f5d2b4e4f8c68a9e738d4a923538feafe0ab990dc07343683c483fe31c6e72
onchain,60,22,1979758,4554511,118668,532154,577.782900,582543,713.836100,615535,689.282300,69626,37.269600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x154fb5cafdcee2396fe03c6087eca1b26183b62bea7613231e62ac836b4352a1
onchain,60,23,1979758,4554511,118668,532274,693.659700,582663,665.075600,615655,697.164600,69626,34.154900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x292331de52be84a82296f61768722d7bfd87e63c87fd356163c5a4d997fedeb7
onchain,60,24,1979758,4554511,118668,532334,605.041300,582711,598.770400,615703,668.436700,69626,31.056400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x2092fafeed5732d32aeb9e30526f6029e073d7d96ff47c8c6be558b33fc19196
onchain,60,25,1979758,4554511,118668,532214,621.948200,582603,634.885200,615595,755.531800,69626,26.379900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x136a858a185e283b3950101c764611240511942b7d0b77665284320aad6dcebe
onchain,60,26,1979758,4554511,118668,532250,734.200100,582639,630.434800,615631,955.655500,69626,30.547000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0a5ea1d829cba1d2a42c8e4887630c113efd2f70c0e0754eb253e1b04d3d8831
onchain,60,27,1979758,4554511,118668,532274,753.079000,582663,2130.929700,615655,1097.869700,69626,37.428400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0258135388cbb1164b3a35b6bfc0e345aca246e458289078a20604a1910f2f34
onchain,60,28,1979758,4554511,118668,532226,2053.389900,582615,746.386900,615607,676.103700,69626,32.523700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1e050ec50125add55d533727a2b237935b08073969db5257e6b35abb0d71f063
